id,titulo,preco,condominio,metragem,url,area_locavel,iptu,valor_total_mensal,pe_direito,endereco_completo
76,GLP Taboão - Galpão para Alugar,36.0,3.9,"21.953,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-21953m2-para-locacao-taboao-da-serra/692680,21953.0,1.0,790326.75,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
77,GLP Taboão - Galpão para Alugar,36.0,3.9,"32.930,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-32930m2-para-locacao-taboao-da-serra/692681,32930.0,1.0,1185490.12,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
78,GLP Taboão - Galpão para Alugar,36.0,3.9,"43.435,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-43435m2-para-locacao-taboao-da-serra/692682,43435.0,1.0,1563685.5,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
79,GLP Taboão - Galpão para Alugar,36.0,3.9,"12.812,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-12812m2-para-locacao-taboao-da-serra/692683,12812.0,1.0,461244.97,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
80,GLP Taboão - Galpão para Alugar,36.0,3.9,"9.682,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-9682m2-para-locacao-taboao-da-serra/692684,9682.0,1.0,348573.25,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
81,GLP Taboão - Galpão para Alugar,36.0,3.9,"18.891,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-18891m2-para-locacao-taboao-da-serra/692685,18891.0,1.0,680094.0,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
82,GLP Taboão - Galpão para Alugar,36.0,3.9,"31.940,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-31940m2-para-locacao-taboao-da-serra/692686,31940.0,1.0,1149865.25,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
83,GLP Taboão - Galpão para Alugar,36.0,3.9,"8.278,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-8278m2-para-locacao-taboao-da-serra/692687,8278.0,1.0,298037.53,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
84,GLP Taboão - Galpão para Alugar,36.0,3.9,"7.438,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-7438m2-para-locacao-taboao-da-serra/692688,7438.0,1.0,267803.28,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
85,GLP Taboão - Galpão para Alugar,36.0,3.9,"14.877,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-14877m2-para-locacao-taboao-da-serra/692689,14877.0,1.0,535606.56,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
